2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
130439,82883,5
130442,6500,5
130443,92000,7
130445,7600,2
130448,59900,4
130449,6000,2
130451,10400,4
130452,34000,4
130453,10680,4
130457,77920,6
130458,16800,3
130459,6480,3
130462,16701,5
130463,71436,4
130464,33300,4
130466,24800,8
130467,7300,2
130470,11140,2
130471,59314,3
130472,51673,5
130473,48870,4
130474,11059,5
130475,56172,6
130476,14233,3
130480,18940,5
130481,26370,4
130482,27460,4
130483,16210,4
130485,16026,2
130486,70660,4
130488,36030,3
130490,66840,8
130491,9255,4
130492,60375,4
130493,20080,4
130494,32430,4
130495,24620,4
130496,72480,3
130498,28200,5
130499,31100,4
130500,2600,3
130502,12920,5
130503,53400,4
130506,29300,4
130510,10000,6
130512,31150,6
130513,1700,4
130514,400,2
130515,36000,3
130516,2000,4
130517,3400,3
130518,1000,4
130519,2700,3
130522,1400,4
130523,20000,4
130524,37100,5
130525,1980,2
130527,19930,4
130528,40400,4
130529,21580,4
130531,8060,3
130533,20380,3
130537,16195,5
130538,85520,6
130540,800,3
130541,42520,3
130542,20760,2
130543,16854,4
130544,33086,2
130545,9000,4
130546,20370,5
130547,58164,3
130550,81980,5
130551,20830,3
130552,30825,4
130553,19851,6
130554,57604,4
130555,97510,7
130556,49852,6
130559,11101,2
130560,3700,2
130561,15440,3
130562,33000,3
130563,17100,4
130565,16100,3
130566,48000,4
130568,32200,5
130572,2493,1
130574,68550,4
130575,19000,3
130576,13540,3
130578,34210,4
130579,48700,7
130580,82380,4
130581,19200,1
130582,16800,2
130583,52500,4
130585,2201,2
130586,14451,6
130587,14150,2
130589,1890,1
130590,2000,2
130591,1970,2
130593,800,1
130595,2000,2
130596,2250,2
130597,20961,2
130598,8200,2
130599,28030,2
130601,126700,5
130602,27160,4
130603,14300,2
130605,19200,4
130606,3500,2
130607,36580,3
130608,26120,3
130609,28280,4
130610,104840,5
130612,16180,4
130613,4750,1
130614,7475,2
130617,53500,6
130619,145200,5
130620,4500,2
130621,3900,2
130623,1000,2
130624,40700,2
130626,12450,2
130627,3800,2
130628,36000,4
130629,21100,2
130630,27600,3
130632,4400,2
130635,137600,9
130636,74700,4
130638,5900,2
130639,5100,5
130640,123251,3
130641,50,1
130642,12500,5
130643,68920,4
130644,22600,5
130645,50800,2
130646,21400,4
130649,59750,6
130650,3532,2
130651,10500,2
130652,36000,1
130653,19700,3
130654,1324,4
130655,7600,3
130656,9500,4
130657,2300,1
130658,17500,4
130659,13900,3
130660,44180,2
130661,4000,2
130662,5400,4
130664,5460,5
130666,8890,2
130667,3200,1
130669,3970,1
130670,5392,2
130671,41520,2
130672,10000,4
130674,33770,2
130676,27640,4
130677,15440,2
130678,8530,2
130679,21151,2
130681,47601,3
130682,32080,6
130683,4730,2
130686,7130,3
130687,3954,1
130688,3500,1
130689,76630,5
130692,26731,2
130693,12450,4
130694,39101,6
130697,89997,5
130698,31931,4
130699,22300,4
130700,66791,5
130701,37430,2
130703,77620,6
130704,67180,5
130705,103420,8
130707,42600,5
130708,8300,3
130709,22000,2
130710,13300,7
130711,6425,2
130712,8201,4
130713,4000,2
130714,10550,2
130716,82300,4
130717,55400,6
130718,2250,3
130719,51920,4
130720,94860,3
130721,42940,3
130722,32620,6
130723,2800,2
130725,43060,5
130726,40380,3
130727,23540,4
130729,53200,4
130733,15000,4
130735,31000,4
130736,16000,4
130740,37210,4
130745,27963,4
130746,44160,5
130749,75016,2
130750,43360,5
130753,39570,3
130754,23000,4
130755,65510,4
130758,25940,3
130760,23220,3
130761,50703,3
130762,52300,3
130765,50400,2
130766,10488,4
130769,3000,2
130773,40000,5
130774,40000,3
130777,22000,4
130781,6600,3
130783,96600,3
130785,42800,3
130789,5000,2
130790,605,4
130791,43200,2
130792,46980,5
130793,48553,4
130794,19800,3
130795,5602,2
130797,18950,3
130798,7065,2
130800,33350,2
130801,3670,1
130802,8701,2
130804,2532,2
130805,75441,3
130806,5030,1
130807,42320,2
130808,14600,4
130809,4578,2
130810,17881,7
130811,18329,4
130812,12761,2
130813,20121,3
130814,5142,1
130815,62840,5
130816,39800,3
130818,3310,1
130819,3600,1
130820,2830,2
130822,36360,4
130823,28770,4
130824,10491,2
