2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
230395,35120,5
230396,5,4
230399,6000,3
230400,27860,2
230401,6000,2
230402,7680,4
230403,13920,1
230404,8040,1
230406,28560,2
230407,23000,3
230408,20000,1
230409,30000,3
230410,28200,3
230411,30120,3
230412,500,2
230416,2200,2
230418,20000,7
230419,2000,2
230420,12000,3
230421,15000,5
230422,19000,3
230426,33740,2
230427,27512,3
230428,48812,2
230429,24800,4
230430,2030,7
230431,10500,2
230432,7600,2
230434,52892,3
230436,52400,3
230438,26936,2
230439,20000,4
230440,31440,2
230441,51632,4
230444,23800,3
230445,48764,3
230446,49612,3
230447,83012,2
230448,23840,1
230449,24240,2
230450,32592,5
230451,30260,1
230453,27000,2
230454,37200,2
230455,77200,5
230456,51680,4
230457,50000,4
230460,11760,3
230462,50000,2
230465,62520,5
230467,17400,1
230468,70408,3
230470,57160,2
230471,5180,2
230472,54920,3
230474,74400,5
230475,45120,3
230476,63000,2
230477,57800,3
230479,55000,3
230482,22400,3
230483,62320,3
230484,24140,3
230485,21100,2
230487,11000,3
230488,33300,5
230489,2400,2
230490,11000,3
230491,16200,1
230492,16500,2
230494,11501,2
230497,4801,3
230498,14200,4
230499,30610,5
230501,4100,4
230503,10300,4
230504,9300,3
230505,8500,3
230507,23400,5
230508,35600,2
230509,12720,6
230510,500,3
230512,35821,2
230513,37600,2
230514,29660,2
230516,41880,1
230517,30760,2
230518,30000,2
230519,23200,5
230520,37800,2
230522,16980,3
230523,37940,3
230524,10000,3
230525,19920,5
230527,57720,2
230528,33600,3
230530,36800,2
230531,16800,2
230532,22956,2
230533,27860,2
230534,14760,2
230535,49440,6
230536,36040,2
230537,25920,3
230538,25008,6
230542,26520,2
230544,39200,2
230545,18881,3
230548,25601,4
230549,29781,4
230550,18700,5
230551,17581,3
230552,10492,3
230553,20001,6
230554,37600,3
230555,10600,2
230556,96000,3
230557,21401,3
230558,700,2
230559,4000,1
230560,800,5
230561,8300,3
230562,38000,3
230563,3250,2
230565,28001,5
230566,66000,3
230567,12500,4
230568,33600,5
230569,21501,2
230570,49000,3
230571,32000,6
230574,32680,5
230575,28920,3
230577,22200,3
230578,7200,3
230579,25000,3
230581,51800,3
230582,35760,5
230584,35000,4
230585,48960,2
230587,32500,3
230589,1500,3
230591,10400,3
230592,350,3
230593,33420,4
230595,5000,2
230597,58240,5
230598,150000,3
230600,21600,2
230601,132000,3
230602,1200,3
230603,29400,3
230604,30000,3
230616,2700,4
230618,37800,5
230619,20600,3
230620,9000,1
230622,20400,6
230623,15744,3
230624,7100,3
230626,78440,2
230627,4860,1
230628,31200,2
230632,52320,3
230636,27000,3
234290,28200,2
235407,93480,3
235712,20800,3
236701,51400,2
237701,66000,3
239073,25080,3
240353,3901,3
240692,19000,2
241704,47390,4
243578,6116,2
246118,29600,1
246620,45200,2
249877,20000,3
251990,407999,5
253373,8000,2
254343,56400,2
260175,38440,3
260973,39880,5
271895,7200,2
273449,42200,3
273616,39600,1
275508,42000,3
276020,156,3
276382,25000,3
276477,18000,2
277772,9000,4
282783,182224,2
285793,63000,2
287926,133500,4
288358,65712,2
289377,41500,4
289591,45460,1
291414,41600,2
295527,18100,2
297753,14400,1
298030,148000,4
298171,30600,1
298919,25000,3
300095,13800,3
300346,300,4
301810,53200,2
302610,9600,3
302806,10430,3
304399,36000,2
305266,26880,2
305727,20030,3
310001,20900,4
310003,58800,2
310004,60000,3
310006,5000,2
310008,56400,3
310011,85200,2
310015,87600,2
310016,28800,1
310020,99200,2
310022,102296,3
310036,27600,2
310037,30000,1
310038,3000,1
310041,55000,2
310043,46560,2
310044,32244,1
310045,33600,1
310046,67400,3
310047,51600,3
310048,90900,3
310049,15600,2
310052,107280,2
310054,83600,3
310055,14000,1
310056,126800,3
310057,52500,3
310058,65372,3
310063,16300,1
310064,72400,3
310065,57400,3
310066,48400,1
310071,36600,2
310073,117644,3
310074,90000,3
310077,86400,1
310078,65100,3
310085,33200,1
310087,58960,2
310089,61200,1
310092,50000,3
310100,73200,2
310101,57600,4
310103,87600,3
310104,22800,2
310117,42000,3
310119,24000,1
310126,86000,3
310132,37080,3
310138,22400,4
310169,81900,3
310170,46800,2
310171,44568,1
310180,30000,2
310181,26400,2
310182,127400,4
310183,181450,3
310185,63408,5
310187,80000,2
310192,99600,3
310193,24000,4
310196,108800,3
310197,87560,3
310199,26600,3
310201,3036046,2
310206,100000,2
310211,60000,1
310212,188200,3
310253,126760,2
310254,70600,7
310257,70800,5
310267,24960,2
310268,44000,3
310269,147400,5
310273,58800,2
310276,155280,5
310279,102800,5
310284,80000,4
310289,100508,6
310292,187960,8
310293,53760,5
310294,165360,5
310306,116200,3
310309,62800,3
310321,78240,3
310323,102000,2
310324,124240,4
310332,105000,2
310334,170120,3
310345,161800,3
310346,449960,3
310347,119360,3
310351,80200,3
310354,41200,2
310362,38400,5
310365,239940,3
310373,39600,5
310378,18740,1
310381,136080,3
310384,59760,1
310389,66640,3
310391,138500,5
310393,55200,2
310394,1027000,2
310399,104320,3
310400,52720,4
310402,101000,3
310406,27600,2
310411,24000,2
310414,70200,3
310415,90896,3
310417,63600,2
310419,85000,3
310422,13200,5
310435,52000,1
310457,48000,2
310462,94800,2
310466,1837848,4
310479,393600,3
310480,44400,1
310481,90000,4
310484,120000,5
310487,57600,4
310494,114000,4
310508,75400,5
310513,46720,4
310521,108000,3
310527,100000,5
310536,48000,3
310538,60000,2
310543,20880,4
310547,145560,3
310548,77000,3
310550,59004,3
310555,60000,3
310557,104400,5
310558,60600,2
310559,21600,4
310560,121922,5
310563,34800,3
310569,47880,2
310577,25200,2
310579,23000,3
310587,147200,6
310593,20400,3
310594,24000,3
310595,75156,3
310598,70000,2
310599,106200,4
310603,72400,3
310607,27600,2
310608,60000,2
310610,138976,3
310614,30000,3
310627,21400,3
310630,31020,2
310633,62928,3
310641,58800,3
310674,48000,4
310678,29160,3
310681,86000,5
310682,48009,2
310687,58800,3
310690,86120,3
310694,124000,1
310696,53100,4
310697,34800,2
310698,45000,2
310699,73800,2
310701,31360,2
310703,24000,3
310705,21600,3
310709,54000,2
310712,144000,3
310714,22000,4
310751,73200,3
310758,57600,2
310759,89604,3
310760,50000,3
310761,149000,3
310763,68400,2
310766,14000,2
310767,107000,2
310769,149960,3
310770,21600,1
310771,152880,3
310773,19200,2
310774,93100,3
310775,66300,2
310778,70400,3
310779,25500,2
310781,8720,1
310783,32400,3
310785,88600,3
310786,19600,2
310787,12000,3
310788,24000,2
310789,36840,4
310791,28800,1
310796,30000,2
310797,42960,2
310798,32400,1
310799,93340,2
310800,55200,2
310801,143524,2
310802,5550,1
310805,66480,4
310806,6600,1
310808,57600,2
310811,72600,3
310812,27600,3
310813,228000,2
310817,159900,3
310818,66000,2
310819,90700,3
310820,55200,2
310821,35160,2
310823,27600,3
310824,48936,2
310826,202800,2
310827,71584,2
310828,104240,2
310829,73260,2
310831,27600,1
310832,81600,2
310835,75872,2
310836,15800,2
310837,113240,3
310839,132960,3
310840,54000,2
310841,52020,4
310849,312400,4
310850,58320,3
310851,76512,4
310852,20400,1
310854,30000,1
310855,168960,4
310858,39516,2
310859,44760,2
310861,26400,1
310862,159860,3
310863,82800,2
310864,83240,3
310869,121156,8
310870,51612,2
310871,87240,4
310874,34800,3
310875,137920,1
310878,15360,2
310879,86600,4
310880,69600,3
310883,92720,5
310884,60000,2
310886,55536,2
310887,53600,1
310890,149100,4
310891,60000,2
310892,24000,1
310893,100000,2
310895,54000,2
310896,548000,3
310898,103092,3
310903,155960,3
310904,62400,2
310907,68160,1
310910,89880,4
310912,361960,3
310913,82240,3
310915,128400,4
310916,36000,1
310917,81600,1
310923,60480,3
310924,183920,3
310927,126256,2
310931,112800,3
310932,60000,3
310934,115920,5
310936,61200,2
310938,61560,4
310939,55200,2
310941,70720,3
310942,171352,3
310947,77696,5
310951,84536,2
310956,123960,3
310960,146800,5
310963,157800,3
310966,78400,2
310971,388400,5
310973,842000,2
310977,297000,5
310978,303120,5
310982,245600,5
310986,44800,3
310990,42000,3
310995,175000,3
310998,41440,2
311002,252700,5
311003,10000,1
311004,24000,5
311005,473600,4
311007,329600,5
311008,74000,3
311027,40764,2
311029,62400,2
311039,102300,3
311040,22800,2
311050,94800,3
311052,427400,7
311055,193600,4
311058,212000,6
311059,219700,7
311060,318241,5
311061,36000,5
311063,69120,2
311066,66000,2
311093,120780,5
311094,39516,2
311096,9940,2
311097,49560,4
311098,35500,3
311099,38904,2
311101,66440,4
311103,73628,5
311104,141720,6
311105,85128,6
311107,56784,5
311109,46048,2
311113,76640,2
311115,45500,5
311116,16216,5
311118,83600,4
311137,1533920,5
311139,50200,3
311140,72600,4
311143,41520,3
311150,76000,3
311151,102040,7
311154,72440,5
311166,74400,2
311172,240040,4
311173,210000,4
311186,36000,2
311199,30000,2
311202,48400,3
311212,43200,2
311217,312200,5
311220,148000,5
311228,292940,5
311230,179640,2
311232,114120,3
311238,217600,3
311240,169200,3
311243,125800,5
311247,127050,4
311252,240000,3
311256,66994,4
311257,27600,5
311263,79200,5
311266,1472,3
311267,25200,2
311269,106760,4
311270,20400,3
311273,150000,1
311275,49800,3
311282,110400,5
311286,73400,3
311287,154120,3
311288,46000,3
311291,24000,1
311292,30000,3
311294,126000,5
311299,86292,6
311311,57000,2
311315,47200,3
311328,44400,4
311333,69240,4
311335,243860,6
311338,41540,5
311340,6000,1
311342,76800,2
311345,52200,4
311346,95600,3
311347,99200,5
311350,7000,1
311351,74200,2
311352,75360,2
311353,72820,3
311354,86520,5
311358,4200,2
311359,48880,4
311360,53800,4
311361,160800,5
311363,43584,2
311368,3600,1
311373,26400,5
311377,58800,2
311378,32148,4
311379,106640,3
311383,182960,2
311385,84920,3
311386,56220,3
311389,42000,2
311392,124800,5
311394,48100,2
311397,30640,2
311399,142912,3
311402,36600,2
311404,18708,1
311410,60000,1
311411,56400,4
311412,42400,4
311415,73200,2
311420,81992,2
311421,79320,2
311422,166710,5
311423,36000,1
311426,20400,2
311427,207956,3
311428,83904,3
311430,48600,5
311431,85000,5
311434,51600,1
311435,129700,2
311437,61584,2
311439,102500,3
311441,83720,2
311442,83520,2
311453,70440,2
311464,337600,4
311468,57320,3
311471,86388,6
311484,123600,3
311487,505760,3
311489,115400,5
311490,257920,3
311495,149060,5
311498,163652,5
311501,130000,4
311516,61520,2
311530,80400,3
311534,31200,2
311541,23600,1
311542,71200,3
311545,30000,1
311547,52800,2
311548,159400,4
311550,46800,3
311552,43200,3
311554,84000,3
311557,62400,2
311558,55680,2
311560,101958,3
311561,142100,3
311563,70000,3
311569,26400,2
311573,134320,3
311574,94560,3
311575,133320,2
311577,33040,4
311578,98400,3
311580,56200,3
311581,23290,1
311582,35480,4
311583,91500,3
311585,43600,4
311589,54432,3
311590,141320,3
311602,131600,3
311609,105976,3
311625,56400,2
311636,24000,3
311648,116600,3
311670,111240,5
311672,1440,1
311673,5000,2
311674,24000,1
311679,95600,2
311683,15000,3
311684,56000,5
311685,24000,2
311686,20000,2
311688,96000,4
311689,114400,2
311690,26016,3
311691,60600,2
311692,24000,2
311693,48800,3
311697,32000,5
311698,64400,6
311699,135160,5
311701,56720,5
311703,13600,3
311704,215440,6
311706,63120,3
311708,1000,2
311712,51560,3
311713,5000,1
311717,107920,7
311718,102400,3
311719,2000,2
311721,30000,2
311725,40920,11
311727,14200,3
311731,50000,3
311732,15000,3
311733,60000,3
311737,15120,1
311744,24000,2
311751,3600,5
311753,95640,3
311754,55500,4
311755,34960,2
311756,51800,4
311758,68340,3
311763,22600,5
311765,67370,2
311768,37400,2
311771,35000,2
311773,6700,3
311775,21000,2
311777,24780,2
311780,27800,2
311782,52800,2
311795,56900,3
311798,5860,2
311799,81500,5
311800,45960,3
311802,90000,3
311803,85660,5
311804,3400,2
311805,150000,3
311806,42400,2
311811,47540,2
311814,20000,4
311817,78004,3
311818,96000,1
311819,92400,3
311822,25200,3
311826,110000,3
311832,84000,3
311833,66480,3
311838,136950,3
311840,24000,2
311849,64800,2
311853,132400,3
311854,24264,3
311855,30480,4
311858,66400,5
311862,12000,5
311865,24000,5
311868,66400,5
311870,36000,5
311872,44400,6
311874,52900,5
311875,97200,5
311876,189600,3
311877,63360,3
311879,102600,3
311880,114400,5
311882,115800,6
311886,117600,6
311887,76384,3
311891,90292,5
311892,24480,4
311895,36720,1
311896,24160,4
311899,51200,4
311905,21260,2
311906,1900,2
311908,88920,5
311909,149220,7
311910,680,2
311911,83300,4
311912,28360,2
311915,200,1
311916,23038,4
311917,9840,2
311918,34860,4
311919,64340,3
311921,11884,3
311922,37100,2
311923,2400,2
311924,9398,2
311926,72100,5
311927,8400,2
311928,19200,2
311930,66180,5
311931,38115,2
311933,2865,2
311936,100808,5
311939,3000,2
311940,5200,6
311942,83520,6
311943,21000,5
311944,25000,2
311946,18000,5
311947,16920,5
311951,148080,10
311954,300078,2
311955,79000,2
311956,125940,7
311957,46716,4
311960,60000,3
311962,44440,3
311964,50000,4
311965,59936,3
311967,47600,5
311968,29050,4
311969,20400,2
311970,44800,4
311971,58420,5
311976,75800,6
311977,778000,7
311978,116180,7
311981,85520,2
311983,180880,5
311984,20104,1
311986,19112,3
311987,75300,6
311988,6800,1
311989,12000,3
311993,249920,5
311994,43844,6
311995,79760,5
311996,73040,5
311997,40000,6
311998,124000,7
311999,30800,2
312000,114500,3
312002,102400,7
312003,35520,3
312004,168500,7
312006,116400,5
312007,25440,4
312008,71440,5
312009,48000,2
312010,74160,5
312011,112160,5
312012,144868,5
312013,112800,4
312015,39500,5
312019,41600,2
312020,62496,2
312022,30000,3
312026,57600,3
312027,608000,2
312028,166200,4
312030,26000,2
312035,3000,3
312036,86500,3
312040,41200,1
312042,11600,1
312044,45160,4
312045,34800,2
312046,57016,2
312047,57560,2
312048,66960,2
312049,32520,2
312051,29080,4
312052,24000,2
312053,33788,4
312054,10000,2
312055,79292,3
312056,13084,4
312057,125272,5
312059,232399,5
312061,144632,3
312063,16560,2
312064,57840,3
312065,204200,5
312069,3800,5
312072,32912,4
312074,64400,5
312075,55688,2
312076,23610,2
312079,67768,3
312082,68848,5
312086,22560,3
312088,15400,2
312089,48264,2
312090,72596,3
312092,18000,5
312093,6000,2
312094,16465,5
312095,30432,3
312096,42400,6
312099,19400,2
312100,6900,2
312101,81184,3
312103,6060,2
312105,37080,3
312107,20120,2
312109,60000,6
312110,45040,5
312111,19210,2
312112,60400,5
312113,2000,2
312118,24712,4
312120,55000,6
312121,24000,3
312129,101200,5
312132,47680,2
312133,32400,2
312134,66048,6
312135,11520,1
312136,38112,5
312137,97360,5
312138,42120,5
312140,52720,5
312143,107472,4
312144,148720,9
312148,30800,4
312156,100096,6
312157,125512,5
312164,118000,6
312165,63840,5
312167,40300,4
312168,175480,3
312169,68000,3
312170,561520,4
312173,80000,5
312174,23534,2
312179,164000,5
312180,19200,3
312181,35000,2
312182,78000,2
312184,12000,2
312185,77016,3
312186,39600,2
312188,88000,3
312190,69312,4
312192,210800,3
312193,67200,2
312194,31000,3
312195,92400,2
312196,37440,2
312197,60000,2
312200,90000,5
312203,131468,5
312206,84276,4
312209,128328,3
312213,20000,3
312217,420,3
312218,78000,2
312220,197160,3
312221,28320,1
312223,198600,3
312227,62400,3
312228,72184,3
312230,87400,3
312231,84000,4
312234,54000,2
312236,116920,3
312237,120240,5
312242,591200,4
312243,354000,3
312248,180360,2
312256,164550,3
312268,51384,6
312270,25700,1
312284,64560,3
312287,44640,3
312289,40320,2
312291,38480,3
312292,110620,5
312295,150340,5
312297,51640,3
312299,161200,3
312303,72300,2
312304,27880,3
312305,52112,2
312306,40440,3
312307,46600,3
312310,66000,3
312312,39500,3
312313,60000,3
312315,80000,3
312316,105276,2
312317,27600,3
312321,42600,2
312322,193000,2
312324,151192,2
312326,267200,2
312327,75660,3
312330,94400,2
312332,190440,3
312333,54512,3
312334,98800,3
312336,10000,3
312341,121440,3
312343,117084,5
312344,357600,3
312345,85240,3
312356,153300,4
312357,46500,3
312358,60000,1
312363,226832,3
312365,28450,2
312368,2160,3
312370,42000,2
312374,1800,2
312375,227276,5
312378,31800,2
312382,77568,2
312384,132184,5
312385,4884,2
312386,21000,2
312388,100000,4
312390,114800,3
312391,100000,2
312392,41480,2
312394,31320,4
312395,70040,4
312396,97832,5
312397,68640,3
312398,60000,2
312399,110000,3
312405,16636,3
312406,18936,2
312410,5760,2
312412,13920,2
312416,16800,2
312418,42200,2
312420,70448,4
312421,91680,3
312422,141480,5
312425,12520,2
312426,32800,3
312428,6600,2
312430,21000,2
312431,15000,2
312435,15504,2
312438,28800,1
312442,74990,4
312445,1450,2
312446,39000,3
312451,34980,3
312452,50198,4
312454,28000,3
312455,3885,3
312456,42870,3
312457,16395,3
312458,49930,3
312459,7050,2
312462,10400,1
312464,19940,2
312465,18250,2
312466,159600,6
312468,8020,3
312469,97880,5
312472,8400,2
312473,10220,2
312474,22550,2
312476,16200,4
312477,32950,3
312478,18020,3
312479,5900,2
312480,10500,2
312481,7400,2
312482,27900,2
312484,12150,3
312485,39600,3
312487,18000,2
312488,35000,3
312490,4100,2
312491,4600,1
312492,67580,3
312496,11651,2
312498,57340,6
312499,7300,2
312503,29000,2
312506,19400,3
312510,54960,7
312511,36848,2
312512,21100,3
312513,77201,3
312516,1720,2
312517,6990,3
312519,46000,2
312522,12100,1
312523,10900,3
312524,32640,4
312525,31500,3
312529,38600,2
312530,48920,3
312531,46665,2
312534,64000,7
312537,24000,2
312540,52240,4
312544,30000,5
312545,69600,2
312547,80440,3
312548,25000,2
312551,3900,1
312552,139440,2
312555,102000,5
312556,57600,3
312558,2000,2
312559,68600,2
312562,106600,2
313409,40500,2
315230,40180,1
317095,23001,2
320001,16860,4
320002,21110,2
320003,62900,3
320004,27600,1
320005,223960,5
320008,63000,2
320010,76600,6
320012,2350,4
320013,21600,4
320014,84092,5
320015,76000,5
320016,31560,6
320017,5500,1
320018,122580,8
320019,800,3
320020,106200,5
320022,24820,5
320023,2970,1
320025,89200,4
320026,27420,2
320027,54800,4
320028,1400,2
320029,82344,5
320032,41500,5
320037,3170,2
320039,11850,6
320040,27570,2
320041,2000,1
320042,15000,4
320044,16180,5
320045,1000,1
320052,18000,3
320054,3500,4
320055,30400,5
320056,37000,5
320058,780,1
320060,81900,4
320061,54350,5
320062,18080,2
320065,8050,3
320068,3200,6
320069,10200,3
320070,77140,7
320071,40460,3
320073,35470,2
320074,78440,5
320076,10120,2
320077,21580,2
320078,109500,3
320079,3000,2
320082,557,2
320083,15418,2
320084,1355,5
320085,13490,2
320088,48560,3
320092,2000,1
320093,3110,5
320098,45641,4
320099,20450,4
320101,3600,3
320102,69120,5
320103,20001,4
320104,48324,4
320106,58720,4
320107,6685,4
320109,43763,4
320110,21192,3
320111,24212,5
320112,97912,3
320113,1371,5
320115,1050,3
320116,32692,3
320117,51010,4
320118,40816,5
320119,57100,5
320121,1370,2
320122,35640,7
320123,27860,4
320124,70550,5
320125,32820,6
320127,84300,5
320128,8540,6
320129,40000,6
320130,28982,4
320131,510,3
320132,205380,4
320134,2500,2
320136,4800,4
320137,134895,5
320139,25600,3
320140,10700,4
320143,64100,5
320151,47760,6
320155,3600,2
320156,6500,5
320158,12761,3
320164,12000,9
320166,42200,6
320169,46800,8
320170,114720,5
320173,10000,3
320175,735880,5
320176,56400,6
320183,1000,4
320184,17820,4
320186,1200,5
320190,119084,6
320191,10000,4
320195,171920,9
320200,131560,7
320201,82000,5
320202,47900,6
320203,23400,6
320205,94000,4
320206,5720,2
320213,48400,7
320214,25500,6
320215,78500,5
320218,12500,6
320219,33490,6
320222,78420,9
320223,105720,5
320224,45300,6
320226,65000,4
320227,63926,5
320228,35201,3
320229,114800,4
320231,2400,4
320232,10200,3
320234,39300,4
320235,2680,5
320236,26100,6
320237,24640,6
320239,15350,3
320240,6600,2
320241,9950,2
320243,2500,4
320244,95110,7
320245,1000,1
320246,8910,4
320250,6220,4
320251,24100,4
320252,29320,3
320253,50400,2
320254,339840,5
320255,80000,5
320256,61500,6
320258,126360,3
320259,72100,3
320260,83500,3
320261,67020,7
320262,940,3
320263,48400,3
320265,29720,4
320266,116600,5
320267,142994,5
320270,81732,3
320271,26360,2
320274,67300,3
320275,77600,4
320276,20000,4
320277,122700,4
320280,25684,2
320281,245000,4
320284,31600,4
320286,191660,5
320287,61600,3
320289,230600,3
320294,120720,3
320295,46800,2
320296,101200,3
320299,48000,2
320301,129600,5
320302,50000,5
320303,48000,3
320304,134800,2
320306,50000,3
320307,80000,5
320309,94000,4
320311,74800,3
320313,82880,2
320314,153480,3
320320,21600,2
320325,62150,4
320327,94060,3
320329,60520,5
320330,79252,3
320332,83080,6
320333,27440,3
320335,17880,2
320336,28020,3
320340,21436,1
320342,2400,4
320348,125840,5
320350,2000,3
320354,131448,6
320355,88064,3
320356,38000,3
320357,22401,3
320358,137040,6
320361,134680,5
320362,100300,3
320365,101976,3
320366,55000,2
320367,107800,5
320368,54540,2
320370,177920,6
320372,52800,2
320374,50200,4
320375,83972,4
320376,113100,7
320377,87272,5
320379,115512,5
320380,94960,4
320382,32400,4
320383,126816,3
320384,16680,2
320385,89530,5
320387,89100,4
320388,60696,3
320390,97350,3
320391,27116,2
320392,34544,6
321876,41404,2
322201,3600,2
322881,300,3
327345,49200,2
330001,20000,3
330003,140500,3
330004,30000,4
330005,136000,4
330006,135360,6
330007,128300,4
330008,60000,5
330011,76000,5
330012,72000,3
330013,26180,3
330014,757120,6
330018,117000,3
330025,70020,4
330026,754800,5
330027,20000,3
330033,142000,5
330034,5350,2
330035,86640,4
330036,62120,3
330037,3300,2
330038,67800,2
330041,1300,2
330044,83500,5
330045,1440,1
330046,112000,5
330047,68120,3
330049,72800,3
330050,190050,2
330052,30470,3
330054,23700,2
330055,147956,3
330058,130500,5
330059,36000,2
330060,27600,2
330061,66800,3
330062,72400,4
330063,2900,4
330064,82200,4
330066,34750,2
330067,51400,4
330068,1800,3
330069,37300,1
330070,63516,2
330072,35000,4
330074,26000,5
330080,88000,5
330082,11800,3
330087,1200,3
330091,40500,3
330092,30000,3
330093,3400,2
330094,102000,5
330095,50000,6
330096,50000,5
330097,18400,2
330098,19395,2
330101,54000,5
330104,64050,5
330105,102000,4
330106,53040,7
330108,87800,3
330112,44510,4
330117,4260,1
330118,78020,3
330120,10000,2
330124,1000,3
330132,5500,2
330133,71260,5
330135,107000,3
330138,18600,4
330140,43360,2
330141,67600,3
330149,6720,4
330150,66500,3
330152,51200,4
330154,126000,3
330158,36000,2
330160,118000,4
330161,102400,3
330162,40720,3
330165,57600,3
330166,19200,1
330169,80000,1
330173,26520,5
330174,28355,7
330175,17435,3
330181,12349,3
330185,9040,3
330187,61350,5
330188,21925,3
330189,28514,3
330190,34301,4
330191,69751,3
330192,30300,2
330194,16021,2
330195,29181,3
330198,75000,5
330199,131000,5
330203,130300,3
330206,13981,4
330207,920,2
330208,23060,2
330211,41301,5
330212,10360,3
330213,7640,6
330214,12101,2
330215,21645,5
330216,29500,4
330217,3551,3
330218,119200,6
330221,28800,3
330224,26500,4
330226,2200,2
330227,89161,5
330229,18240,4
330231,80800,3
330234,500100,2
330237,1800,2
330239,90601,4
330242,34960,3
330245,24631,3
330249,101340,3
330250,57030,3
330251,89675,6
330253,43800,3
330254,503,4
330256,27040,5
330257,820,3
330258,85661,6
330259,500,3
330260,78501,2
330262,30030,4
330264,1801,2
330265,600,2
330266,184800,4
330267,16361,3
330268,278680,8
330269,69120,4
330271,63760,5
330272,110660,3
330274,54000,6
330279,83200,8
330281,116400,4
330283,51000,2
330285,127400,3
330286,78550,2
330287,212850,3
330288,28400,2
330289,27160,5
330290,204660,5
330296,246000,4
330297,84000,6
330301,67170,9
330304,87448,3
330305,46000,5
330308,79000,4
330309,181640,5
330310,141558,6
330311,64650,3
330312,64800,4
330313,108060,6
330314,77000,3
330315,13960,2
330318,64825,3
330319,30300,3
330321,39880,5
330323,32835,3
330325,46390,6
330331,32530,4
330336,31500,2
330339,180200,6
330340,75200,4
330341,51200,3
330342,110000,4
330343,95100,2
330344,40000,4
330347,32800,3
330348,27960,3
330350,55000,4
330353,10800,2
330355,180,3
330357,87900,3
330360,17300,3
330363,86300,5
330364,12000,1
330371,221000,5
330376,79760,3
330380,44400,3
330385,64400,6
335404,52700,5
336196,160000,1
337385,30120,3
340002,3280,3
340003,54500,6
340004,20900,3
340005,9200,2
340006,58876,3
340007,34800,3
340010,103900,4
340011,19540,3
340012,12200,2
340013,2900,2
340014,9630,4
340015,20800,2
340016,4020,2
340017,6200,4
340020,119600,5
340021,3800,3
340024,1440,1
340026,132690,5
340030,3429,1
340031,22800,2
340035,13440,3
340038,36000,3
340039,127300,3
340040,2500,1
340041,124800,4
340045,74600,6
340048,146840,8
340049,93400,4
340053,151600,4
340055,10150,3
340057,121860,8
340059,81440,3
340060,30100,3
340061,10700,3
340064,14190,2
340065,5700,2
340066,11500,3
340067,20000,3
340068,112670,8
340071,31300,4
340072,12390,3
340073,54140,5
340074,21200,3
340075,10430,4
340076,14570,5
340077,26151,4
340079,184110,4
340080,123700,7
340082,117400,2
340084,50100,5
340085,49100,3
340087,79524,6
340088,74712,4
340090,125850,3
340091,18100,3
340093,92970,4
340094,16565,3
340095,18880,2
340096,110676,4
340097,14030,4
340098,74720,5
340099,86020,3
340100,27500,6
340101,35035,5
340102,34700,2
340103,5700,5
340105,91800,9
340106,10700,2
340109,33070,3
340110,3015,2
340111,9700,4
340112,3920,2
340114,21981,5
340115,64200,6
340116,8300,2
340119,3800,4
340120,8970,3
340123,20100,4
340124,3900,2
340125,3800,5
340127,51200,4
340128,20308,4
340132,4175,5
340133,151900,7
340135,120840,3
340136,12000,4
340137,2000,1
340139,51000,3
340141,91420,5
340142,32200,4
340143,14000,5
340144,42200,3
340147,105400,5
340148,60900,3
340149,3005,2
340151,6650,2
340153,2900,3
340154,48200,2
340155,8900,2
340157,25100,4
340158,1200,3
340159,14250,2
340161,1000,4
340162,72800,4
340163,24575,3
340165,12400,3
340168,1520,3
340169,24000,1
340170,131000,5
340171,36140,3
340172,48870,5
340173,600,1
340175,8200,4
340176,43300,3
340177,2150,2
340179,81100,5
340182,15600,2
340183,60000,3
340185,56800,5
340186,54200,3
340188,111300,3
340191,113001,4
340194,18500,4
340196,58700,2
340198,42095,5
340199,1800,5
340201,5400,2
340202,5600,3
340203,16830,7
340205,11350,2
340206,47760,4
340208,21840,5
340209,58840,5
340210,28320,4
340213,15060,3
340214,13020,3
340218,24400,3
340224,3100,3
340225,30000,3
340226,35730,5
340229,9206,3
340231,3160,2
340233,28200,3
340238,40200,3
340239,24060,4
340242,420,3
340244,65980,4
340248,121950,5
340249,93670,5
340250,3820,3
340251,43250,4
340252,21590,3
340253,10260,2
340256,33800,5
340257,7200,2
340258,40000,4
340259,44400,3
340262,142998,5
340263,93440,4
340264,169500,6
340270,10800,4
340271,51360,3
340272,90500,5
340274,200,2
340275,7700,4
340277,2711,5
340278,126050,7
340279,32200,5
340282,20000,2
340283,21180,4
340284,27000,4
340285,50000,3
340289,40330,5
340290,42460,6
340292,54710,5
340293,23976,3
340294,69650,6
340296,18062,3
340297,89050,3
340298,24430,6
340300,38600,4
340301,2380,3
340302,39770,5
340303,52510,6
340304,34800,6
340306,33090,3
340307,6700,3
340308,30545,3
340309,124010,4
340311,1200,1
340312,68070,7
340313,83380,3
340314,53530,6
340316,76214,6
340317,10312,3
340318,164040,5
340319,30960,4
340320,59060,5
340321,42600,3
340322,32940,5
340323,69790,6
340324,13850,2
340325,15850,5
340326,79910,4
340328,123460,5
340329,80194,5
340330,24000,6
340337,65620,4
340338,108720,6
340339,98340,6
340342,35800,5
340343,55150,3
340346,56980,4
340349,55776,3
340351,116800,3
